name,description,category,ecommerce
"Sistemas control PC (1 Tarjeta para PC + 1 CD Software + 1 cable plano
  + 1 terminal de I/O A/D + 9 diskette + 3 Manuales)",MFI-I,equipos,FALSE
"Circuitos acondicionamiento para sensor de posición con potenciómetro
  (1 Manual de prácticas)",G22/EV,equipos,FALSE
Circuitos control para sensor de fuerza (celda de carga) (1 Manual de prácticas),G25/EV,equipos,FALSE
Maqueta con celda de carga y pesos (2 de 1 Kg + 4 de 250 gr.),TY25/EV,equipos,FALSE
Circuitos control para sensores de proximidad (1 Manual de prácticas),G29/EV,equipos,FALSE
"Maqueta con sens. de prox. inductivos lineales y On/Off, capacitivos On/Off",TY29/EV,equipos,FALSE
Multímetro digital (1 Manual del usuario),GDM-350,equipos,FALSE
Sirena 12V,,equipos,FALSE
Generador de funciones (1 Manual del usuario),GFG-8015G,equipos,FALSE
Alimentador 0/30V + Alimentador 5/12/24V (Manual del usuario),V30/EV,equipos,FALSE
"CPU Intel I3 - 3250 - 4 GB RAM + Monitor Led 18,5""+ multimedia + disco 500GB + Grabadora DVD + teclado + mouse",,equipos,FALSE
Parlante Bluetooth SPIKA,SP4412,equipos,FALSE
Perforadora de papel,,equipos,FALSE
Impresora Laser Brother HL-1212W,,equipos,FALSE
Abrochadora,,equipos,FALSE
Calibre,,equipos,FALSE
Conversor USB a SD,,equipos,FALSE
Trinchetas,,equipos,FALSE
Zapatilla multinorma,,equipos,FALSE
Alimentador 0/30V + Alimentador 5/12/24V (Manual del usuario),V30/EV,equipos,FALSE
Alicate PRO´S KIT 8PK-101D + Pinza de punta PRO´S KIT 8KP-102D+juego de destornilladores x 5,,equipos,FALSE
Entrenador + Programador Microchip SNAP PG164100 c/cable micro USB,,equipos,FALSE
"CPU + Monitor Led 19"" + multimedia + disco + Grabadora DVD + teclado + mouse",,equipos,FALSE
